Rank,Artist,Album/Single,Year,Format,Genre
1136,Madonna,Into the Groove / Shoo-Bee-Doo,1985,Single,Dance-Pop/Electropop/Synth-Pop
1137,Madonna & Justin,4 Minutes,2008,Single,Dance-Pop/Electropop/Synth-Pop
1138,Metro Station,Shake It,2008,Single,Dance-Pop/Electropop/Synth-Pop
1139,Katy Perry,Hot n Cold,2008,Single,Dance-Pop/Electropop/Synth-Pop
1140,The Pointer Sisters,I'm So Excited / Nothin' But a Heartache,1982,Single,Dance-Pop/Electropop/Synth-Pop
1141,The Saturdays,Just Can't Get Enough,2009,Single,Dance-Pop/Electropop/Synth-Pop
1142,Shakira,She Wolf,2009,Single,Dance-Pop/Electropop/Synth-Pop
1143,Bob Sinclar & Cutee B,Sound of Freedom,2007,Single,Dance-Pop/Electropop/Synth-Pop
1144,The Veronicas,Untouched,2007,Single,Dance-Pop/Electropop/Synth-Pop
1145,Strike,U Sure Do,1994,Single,Dance-Pop/Electropop/Synth-Pop
1146,Goldfrapp,Ooh La La,2005,Single,Dance-Pop/Electropop/Synth-Pop
1147,Jeff Lynne,Video! / Sooner or Later,1984,Single,Dance-Pop/Electropop/Synth-Pop
1148,Toktok vs. Soffy O.,Missy Queen's Gonna Die / Go!,2000,Single,Dance-Pop/Electropop/Synth-Pop
1149,Sigue Sigue Sputnik,Love Missile F1-11 / Hack Attack,1986,Single,Dance-Pop/Electropop/Synth-Pop
1150,Perfume,ワンルーム･ディスコ [One Room Disco],2009,One Room Disco,Dance-Pop/Electropop/Synth-Pop
1151,Yazoo,Don't Go / Winter Kills,1982,Single,Dance-Pop/Electropop/Synth-Pop
1152,Deux,Felicità / Game and Performance,1983,Single,Dance-Pop/Electropop/Synth-Pop
1153,TISM,Greg! The Stop Sign!!,1995,Single,Dance-Pop/Electropop/Synth-Pop
1154,capsule,Jumper / The Time Is Now,2008,Single,Dance-Pop/Electropop/Synth-Pop
1155,Sugababes,Freak Like Me,2002,Single,Dance-Pop/Electropop/Synth-Pop
1156,DAT Politics,Wow Twist,2006,,Dance-Pop/Electropop/Synth-Pop
1157,Depeche Mode,Just Can't Get Enough / Any Second Now,1981,Single,Dance-Pop/Electropop/Synth-Pop
1158,Hellogoodbye,Hellogoodbye,2004,EP,Dance-Pop/Electropop/Synth-Pop
1159,a-ha,Take On Me / Love Is Reason,1984,Single,Dance-Pop/Electropop/Synth-Pop
1160,Alphaville,Forever Young / Welcome to the Sun,1984,Single,Dance-Pop/Electropop/Synth-Pop
1161,Aneka,Japanese Boy / Ae Fond Kiss,1981,Single,Dance-Pop/Electropop/Synth-Pop
1162,Aviador Dro,La ciudad en movimiento / Cromosomas salvajes,1985,Single,Dance-Pop/Electropop/Synth-Pop
1163,Blancmange,Blind Vision / Heaven Knows Where Heaven Is,1983,Single,Dance-Pop/Electropop/Synth-Pop
1164,Buggles,Video Killed the Radio Star / Kid Dynamo,1979,Single,Dance-Pop/Electropop/Synth-Pop
1165,Anne Clark,Our Darkness / Sleeper in Metropolis,1984,Single,Dance-Pop/Electropop/Synth-Pop
1166,Lio,Le Banana Split / Teenager,1979,Single,Dance-Pop/Electropop/Synth-Pop
1167,Chrisma,C-Rock / Mandoia,1977,Single,Dance-Pop/Electropop/Synth-Pop
1168,Andreas Dorau,Girls in Love,1997,Single,Dance-Pop/Electropop/Synth-Pop
1169,Dre Skull,I Want You,2009,Single,Dance-Pop/Electropop/Synth-Pop
1170,The Electronic Circus,Direct Lines / Le сhorale,1981,Single,Dance-Pop/Electropop/Synth-Pop
1171,Karen Finley,Tales of Taboo / Belgian Waffles / The Yam Jam / The Naked Truth,1986,Single,Dance-Pop/Electropop/Synth-Pop
1172,The Human League,(Keep Feeling) Fascination / Total Panic,1983,Single,Dance-Pop/Electropop/Synth-Pop
1173,Indochine,L'aventurier / Indochine (Les 7 jours de Pékin),1982,Single,Dance-Pop/Electropop/Synth-Pop
1174,Kraftwerk,Computerwelt,1981,,Dance-Pop/Electropop/Synth-Pop
1175,Metal y Ca,Velocidad,1982,EP,Dance-Pop/Electropop/Synth-Pop
1176,Gary Numan,Cars / Asylum,1979,Single,Dance-Pop/Electropop/Synth-Pop
1177,Soft Cell,Tainted Love / Where Did Our Love Go,1981,Single,Dance-Pop/Electropop/Synth-Pop
1178,Visage,Fade to Grey / The Steps,1980,Single,Dance-Pop/Electropop/Synth-Pop
1179,DJ Tron,Resurrection EP,1998,EP,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1180,新世紀ガヴァンゲリオン [Neon Genesis Gabbangelion],Genesis:0,2000,,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1181,Scott Attrill,Get to It / Big Bass,2009,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1182,Francesco Zeta,Whacko / Bring Me Over,2009,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1183,Jeckyll & Hyde,Freefall,2007,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1184,Patrick Jumpen,Holiday,2007,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1185,Syndicate,Appetite for Destruction EP,1996,EP,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1186,Fuckin Hostile,Fuckin Hostile,1993,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1187,Euromasters,Amsterdam waar lech dat dan?,1992,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1188,FFF,The Feeling / Rotterdam Soundboy,2007,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1189,Keng,Induce Trance / Infiltrator / One Step Ahead,1994,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1190,The Original Gabber,Headbanger!,1993,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1191,Nosferatu,Never Met Equals,2006,EP,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1192,Evil Activities,Nobody Said It Was Easy,2008,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1193,Marshall Masters,I Like It Loud,1997,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1194,Tha Playah,Walking the Line,2009,EP,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1195,Rotterdam Termination Source,Poing / Rough Justice / Feyenoord,1992,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1196,Tha Playah vs. DJ Mad Dog,Enter the Time Machine,2006,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
1197,"Rob Gee, DJ Repete & MC Romeo",Riot in N.Y.,1994,Single,Gabber/Digital Hardcore/Speedcore/Hardstyle/Jumpstyle
